	entrezgene	ensembl_gene_id	gene_name	filter	baseMean	log2FoldChange_condition_treat_day6_on_vs_day6_off	lfcSE_condition_treat_day6_on_vs_day6_off	stat_condition_treat_day6_on_vs_day6_off	pvalue_condition_treat_day6_on_vs_day6_off	padj_condition_treat_day6_on_vs_day6_off	filter1	external_gene_name	pathway_id
5617	19057	ENSMUSG00000022092	Ppp3cc	1	211.916720060235	0.612244562678581	0.149846777250616	4.08580400534482	4.3924446012959e-05	0.000219622230064795	DE	Ppp3cc	mmu05014
5618	19057	ENSMUSG00000022092	Ppp3cc	1	211.916720060235	0.612244562678581	0.149846777250616	4.08580400534482	4.3924446012959e-05	0.000219622230064795	DE	Ppp3cc	mmu04724
5619	19057	ENSMUSG00000022092	Ppp3cc	1	211.916720060235	0.612244562678581	0.149846777250616	4.08580400534482	4.3924446012959e-05	0.000219622230064795	DE	Ppp3cc	mmu05170
5620	19057	ENSMUSG00000022092	Ppp3cc	1	211.916720060235	0.612244562678581	0.149846777250616	4.08580400534482	4.3924446012959e-05	0.000219622230064795	DE	Ppp3cc	mmu04650
5621	19057	ENSMUSG00000022092	Ppp3cc	1	211.916720060235	0.612244562678581	0.149846777250616	4.08580400534482	4.3924446012959e-05	0.000219622230064795	DE	Ppp3cc	mmu05010
5622	19057	ENSMUSG00000022092	Ppp3cc	1	211.916720060235	0.612244562678581	0.149846777250616	4.08580400534482	4.3924446012959e-05	0.000219622230064795	DE	Ppp3cc	mmu04659
5623	19057	ENSMUSG00000022092	Ppp3cc	1	211.916720060235	0.612244562678581	0.149846777250616	4.08580400534482	4.3924446012959e-05	0.000219622230064795	DE	Ppp3cc	mmu04922
5624	19057	ENSMUSG00000022092	Ppp3cc	1	211.916720060235	0.612244562678581	0.149846777250616	4.08580400534482	4.3924446012959e-05	0.000219622230064795	DE	Ppp3cc	mmu04380
5625	19057	ENSMUSG00000022092	Ppp3cc	1	211.916720060235	0.612244562678581	0.149846777250616	4.08580400534482	4.3924446012959e-05	0.000219622230064795	DE	Ppp3cc	mmu04360
5626	19057	ENSMUSG00000022092	Ppp3cc	1	211.916720060235	0.612244562678581	0.149846777250616	4.08580400534482	4.3924446012959e-05	0.000219622230064795	DE	Ppp3cc	mmu04310
5627	19057	ENSMUSG00000022092	Ppp3cc	1	211.916720060235	0.612244562678581	0.149846777250616	4.08580400534482	4.3924446012959e-05	0.000219622230064795	DE	Ppp3cc	mmu04370
5628	19057	ENSMUSG00000022092	Ppp3cc	1	211.916720060235	0.612244562678581	0.149846777250616	4.08580400534482	4.3924446012959e-05	0.000219622230064795	DE	Ppp3cc	mmu04720
5629	19057	ENSMUSG00000022092	Ppp3cc	1	211.916720060235	0.612244562678581	0.149846777250616	4.08580400534482	4.3924446012959e-05	0.000219622230064795	DE	Ppp3cc	mmu04660
5630	19057	ENSMUSG00000022092	Ppp3cc	1	211.916720060235	0.612244562678581	0.149846777250616	4.08580400534482	4.3924446012959e-05	0.000219622230064795	DE	Ppp3cc	mmu04022
5631	19057	ENSMUSG00000022092	Ppp3cc	1	211.916720060235	0.612244562678581	0.149846777250616	4.08580400534482	4.3924446012959e-05	0.000219622230064795	DE	Ppp3cc	mmu05163
5632	19057	ENSMUSG00000022092	Ppp3cc	1	211.916720060235	0.612244562678581	0.149846777250616	4.08580400534482	4.3924446012959e-05	0.000219622230064795	DE	Ppp3cc	mmu04924
5633	19057	ENSMUSG00000022092	Ppp3cc	1	211.916720060235	0.612244562678581	0.149846777250616	4.08580400534482	4.3924446012959e-05	0.000219622230064795	DE	Ppp3cc	mmu04728
5634	19057	ENSMUSG00000022092	Ppp3cc	1	211.916720060235	0.612244562678581	0.149846777250616	4.08580400534482	4.3924446012959e-05	0.000219622230064795	DE	Ppp3cc	mmu04020
5635	19057	ENSMUSG00000022092	Ppp3cc	1	211.916720060235	0.612244562678581	0.149846777250616	4.08580400534482	4.3924446012959e-05	0.000219622230064795	DE	Ppp3cc	mmu05031
5636	19057	ENSMUSG00000022092	Ppp3cc	1	211.916720060235	0.612244562678581	0.149846777250616	4.08580400534482	4.3924446012959e-05	0.000219622230064795	DE	Ppp3cc	mmu04625
5637	19057	ENSMUSG00000022092	Ppp3cc	1	211.916720060235	0.612244562678581	0.149846777250616	4.08580400534482	4.3924446012959e-05	0.000219622230064795	DE	Ppp3cc	mmu05235
5638	19057	ENSMUSG00000022092	Ppp3cc	1	211.916720060235	0.612244562678581	0.149846777250616	4.08580400534482	4.3924446012959e-05	0.000219622230064795	DE	Ppp3cc	mmu05166
5639	19057	ENSMUSG00000022092	Ppp3cc	1	211.916720060235	0.612244562678581	0.149846777250616	4.08580400534482	4.3924446012959e-05	0.000219622230064795	DE	Ppp3cc	mmu04114
5640	19057	ENSMUSG00000022092	Ppp3cc	1	211.916720060235	0.612244562678581	0.149846777250616	4.08580400534482	4.3924446012959e-05	0.000219622230064795	DE	Ppp3cc	mmu04662
5641	19060	ENSMUSG00000003099	Ppp5c	1	1105.68715101675	-0.722256252489758	0.092278601929456	-7.82690935263519	5.00009328911541e-15	7.69851839590858e-14	DE	Ppp5c	mmu04010
5642	19062	ENSMUSG00000006127	Inpp5k	1	813.747541943418	-0.500554373787676	0.0895034511381023	-5.59257064864827	2.23732068734146e-08	1.80793023931932e-07	DE	Inpp5k	mmu04070
5643	19062	ENSMUSG00000006127	Inpp5k	1	813.747541943418	-0.500554373787676	0.0895034511381023	-5.59257064864827	2.23732068734146e-08	1.80793023931932e-07	DE	Inpp5k	mmu04910
5644	19062	ENSMUSG00000006127	Inpp5k	1	813.747541943418	-0.500554373787676	0.0895034511381023	-5.59257064864827	2.23732068734146e-08	1.80793023931932e-07	DE	Inpp5k	mmu00562
